,X.1,X,site.name,ID,PM2.5_2015,AQI_2015,N_2015,PM2.5_2016,AQI_2016,N_2016,PM2.5_2017,AQI_2017,N_2017,PM2.5_2018,AQI_2018,N_2018,PM2.5_2019,AQI_2019,N_2019,Season,interstate,distance_feet,distance_mi,name_pp,active_flag,fuel_type,PP_distance_feet,PP_distance_mi,med_income,PM2.5_2020,AQI_2020,N_2020,PM2.5_2021,AQI_2021,N_2021
88,88,88,Ramsey Health Center,Ramsey Health Center_Spring,6.039130435,25.17391304,23,6.533333333,26.47619048,21,6.445833333,26.41666667,24,8.780952381,36.04761905,21,6.46,25.88,25,Spring,35W/94,158.75,0.030066288,United & Children's Hospital,Y,Diesel,3902.867517,0.739337465,NA,6.77,28.2,10,5.636666667,23.1,30
89,89,89,Ramsey Health Center,Ramsey Health Center_Summer,8.682051282,35.30769231,39,5.894594595,24.62162162,37,7.782352941,31.70588235,34,8.686111111,34.58333333,36,6.78,28.14285714,35,Summer,35W/94,158.75,0.030066288,United & Children's Hospital,Y,Diesel,3902.867517,0.739337465,NA,6.034482759,25.06896552,29,13.16785714,47.96428571,28
90,90,90,Ramsey Health Center,Ramsey Health Center_Winter,10.15185185,38.40740741,27,8.773333333,34.36666667,30,10.11333333,39.8,30,10.48275862,39.86206897,29,13.025,47,4,Winter,35W/94,158.75,0.030066288,United & Children's Hospital,Y,Diesel,3902.867517,0.739337465,NA,11.66551724,42.55172414,29,8.017857143,32.39285714,28
91,91,91,Red Lake Nation,Red Lake Nation_Fall,4.317777778,18.01111111,90,4.84,20.17777778,90,5.476666667,22.81111111,90,5.751685393,23.73033708,89,4.676190476,19.54761905,84,Fall,29,499276.8,94.56,Centennial Generating Station,Y,Diesel,562818.4806,106.6171954,17723,6.883333333,28.44444444,90,5.469047619,22.82142857,84
92,92,92,Red Lake Nation,Red Lake Nation_Spring,4.327142857,18.02857143,70,4.901470588,20.07352941,68,3.890277778,16.23611111,72,5.608823529,23.38235294,68,5.052857143,20.92857143,70,Spring,29,499276.8,94.56,Centennial Generating Station,Y,Diesel,562818.4806,106.6171954,17723,4.84,20.15555556,90,4.345054945,18.0989011,91
93,93,93,Red Lake Nation,Red Lake Nation_Summer,5.507964602,21.27433628,113,3.495454545,14.60909091,110,5.951428571,23.80952381,105,6.844444444,26.19444444,108,5.679464286,20.58928571,112,Summer,29,499276.8,94.56,Centennial Generating Station,Y,Diesel,562818.4806,106.6171954,17723,3.764044944,15.69662921,89,14.89662921,40.66292135,89
94,94,94,Red Lake Nation,Red Lake Nation_Winter,7.047191011,28.43820225,89,7.088372093,29.25581395,86,6.602298851,27.4137931,87,7.986046512,32.52325581,86,7.92247191,32.21348315,89,Winter,29,499276.8,94.56,Centennial Generating Station,Y,Diesel,562818.4806,106.6171954,17723,7.006896552,28.02298851,87,7.315116279,30.34883721,86
95,95,95,South St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,4724.19,0.894732955,Hennepin County Energy Center,Y,Natural gas,14838.24938,2.810875243,23784,NA,NA,NA,NA,NA,NA
96,96,96,Southwest Minnesota Regional Airport,Southwest Minnesota Regional Airport_Fall,6.283908046,25.3908046,87,4.489285714,18.82142857,84,4.79382716,19.97530864,81,5.598876404,23.20224719,89,3.895454545,16.05681818,88,Fall,29,236544,44.8,Xcel Energy - Minnesota Valley,Y,Diesel,147594.4556,27.95947087,32408,6.962068966,28.06896552,87,5.215555556,21.62222222,90
97,97,97,Southwest Minnesota Regional Airport,Southwest Minnesota Regional Airport_Spring,4.875342466,20.10958904,73,4.963380282,20.54929577,71,4.052054795,16.5890411,73,6.210606061,25.89393939,66,4.921126761,20.43661972,71,Spring,29,236544,44.8,Xcel Energy - Minnesota Valley,Y,Diesel,147594.4556,27.95947087,32408,4.635555556,19.34444444,90,5.382608696,22.38043478,92
98,98,98,Southwest Minnesota Regional Airport,Southwest Minnesota Regional Airport_Summer,5.230841121,20.65420561,107,2.744954128,11.53211009,109,5.328301887,21.71698113,106,5.971698113,23.77358491,106,5.91047619,24.57142857,105,Summer,29,236544,44.8,Xcel Energy - Minnesota Valley,Y,Diesel,147594.4556,27.95947087,32408,4.242553191,17.5,94,12.33406593,41.01098901,91
99,99,99,Southwest Minnesota Regional Airport,Southwest Minnesota Regional Airport_Winter,6.129268293,25.1097561,82,5.948863636,24.11363636,88,6.261797753,25.98876404,89,8.395402299,33.09195402,87,5.229069767,21.34883721,86,Winter,29,236544,44.8,Xcel Energy - Minnesota Valley,Y,Diesel,147594.4556,27.95947087,32408,7.106741573,28.23595506,89,7.019101124,26.58426966,89
100,100,100,St. Louis Park City Hall,St. Louis Park City Hall_Fall,6.617241379,27.48275862,29,6.042857143,25.14285714,28,5.896666667,24.23333333,30,6.507407407,25.11111111,27,5.836363636,24.15151515,33,Fall,394,8025.6,1.52,Hennepin County Energy Center,Y,Natural gas,23571.65354,4.465282641,45398,8.708108108,34.24324324,37,7.018181818,28.72727273,11
101,101,101,St. Louis Park City Hall,St. Louis Park City Hall_Spring,5.254166667,21.91666667,24,5.665217391,23.43478261,23,5.379166667,22.375,24,7.404166667,30.58333333,24,5.364,21.8,25,Spring,394,8025.6,1.52,Hennepin County Energy Center,Y,Natural gas,23571.65354,4.465282641,45398,10.6,44,1,5.125714286,21,35
102,102,102,St. Louis Park City Hall,St. Louis Park City Hall_Summer,7.831578947,31.71052632,38,5.375675676,22.43243243,37,7.497297297,30.54054054,37,7.991666667,32.05555556,36,6.65952381,26.9047619,42,Summer,394,8025.6,1.52,Hennepin County Energy Center,Y,Natural gas,23571.65354,4.465282641,45398,5.771428571,24,35,12.27297297,44.18918919,37
103,103,103,St. Louis Park City Hall,St. Louis Park City Hall_Winter,8.955172414,34.82758621,29,7.586666667,30.23333333,30,8.296666667,33.7,30,9.632142857,37.03571429,28,12.4,46.2,5,Winter,394,8025.6,1.52,Hennepin County Energy Center,Y,Natural gas,23571.65354,4.465282641,45398,11.66944444,42.61111111,36,7.521212121,29.3030303,33
104,104,104,St. Michael Elementary School,St. Michael Elementary School_Fall,5.859756098,24.45121951,82,5.878571429,24.52380952,84,6.025,25,84,5.625,22.20238095,84,4.487341772,18.34177215,79,Fall,94,10929.6,2.07,Great River Energy - Saint Bonifacius,Y,Diesel,58650.16957,11.11036116,NA,7.577011494,30.93103448,87,5.973563218,24.89655172,87
105,105,105,St. Michael Elementary School,St. Michael Elementary School_Spring,4.436986301,18.50684932,73,6.879411765,27.25,68,5.257534247,21.78082192,73,6.530136986,27.12328767,73,4.065753425,16.78082192,73,Spring,94,10929.6,2.07,Great River Energy - Saint Bonifacius,Y,Diesel,58650.16957,11.11036116,NA,4.865882353,20.23529412,85,6.202197802,25.71428571,91
106,106,106,St. Michael Elementary School,St. Michael Elementary School_Summer,6.24137931,24.64367816,87,4.962385321,20.72477064,109,6.957798165,28.33944954,109,7.146902655,28.96460177,113,4.716814159,19.36283186,113,Summer,94,10929.6,2.07,Great River Energy - Saint Bonifacius,Y,Diesel,58650.16957,11.11036116,NA,5.684090909,23.47727273,88,12.26595745,41.71276596,94
